Year,Demand
2010,154301892.32
2011,152919719.72
2012,144993876.02
2013,139837479.16
2014,138719922.42
2015,139805365.0
2016,140157102.9
2017,141103884.13
2018,140158187.86
2019,139538962.96
2020,135445253.2
2021,27356986.56
2023,10326273000.0
2024,10487562000.0
2025,10644417000.0
2026,10795895000.0
2027,10942215000.0
2028,11082342000.0
2029,11216906000.0
2030,11345082000.0
2031,11467232000.0
2032,11582491000.0
2033,11695802000.0
2034,11807267000.0
2035,11916993000.0
2036,12025105000.0
2037,12131611000.0
2038,12236593000.0
2039,12340138000.0
2040,12442272000.0
2041,12542976000.0
2042,12642213000.0
2043,12739945000.0
2044,12836126000.0
2045,12930726000.0
2046,13023692000.0
2047,13114994000.0
2048,13204652000.0
2049,13292648000.0
2050,13379000000.0
2051,13463767000.0
2052,13547027000.0
2053,13628893000.0
2054,13709459000.0
2055,13788868000.0
2056,13867197000.0
2057,13944541000.0
2058,14020978000.0
2059,14096544000.0
2060,14171279000.0
2061,14245207000.0
2062,14318349000.0
2063,14390739000.0
2064,14462376000.0
2065,14533282000.0
2066,14603455000.0
2067,14672902000.0
2068,14741602000.0
2069,14809518000.0
2070,14876580000.0
2071,14942735000.0
