Date,Aggregated Daily,Aggregated Weekly,Aggregated Monthly,Yearly Interpolation
2023-01-01,8388717.4,8377964.108013937,8383478.291666667,8323889
2024-01-01,8516948.769125683,8487154.229965158,8511853.208333334,8453902
2025-01-01,8641226.232876712,8595304.445993032,8636305.791666666,8580341
2026-01-01,8761257.928767124,8703454.662020905,8756505.041666666,8702446
2027-01-01,8876715.767123288,8811604.878048781,8872164.041666666,8820393
2028-01-01,8987434.81693989,8920795.0,8983063.416666666,8933348
2029-01-01,9093337.4630137,9029985.121951219,9089173.916666666,9041818
2030-01-01,9194236.619178083,9138135.337979095,9190268.875,9145140
2031-01-01,9289930.227397261,9246285.554006968,9286186.291666666,9243603
2032-01-01,9382056.719945354,9354435.770034842,9378375.708333334,9336512
2033-01-01,9472652.91780822,9462585.986062719,9469032.25,9427851
2034-01-01,9561804.336986301,9560220.552715655,9558240.125,9517701
2035-01-01,9649604.619178083,9646077.341853036,9646092.833333334,9606150
2036-01-01,9736107.214480875,9731116.447284345,9732647.291666666,9693298
2037-01-01,9821347.575342465,9816155.552715655,9817937.458333334,9779151
2038-01-01,9905394.663013699,9901194.658146964,9902031.25,9863776
2039-01-01,9988293.720547944,9986233.763578273,9984976.125,9947242
2040-01-01,10070048.103825137,10068793.942528736,10066776.666666666,10029571
2041-01-01,10150634.91780822,10147994.114942528,10147411.375,10110747
2042-01-01,10230024.580821918,10226440.0,10226849.958333334,10190742
2043-01-01,10308181.794520548,10304885.885057472,10305057.583333334,10269523
2044-01-01,10385076.825136611,10383331.770114942,10382003.666666666,10347053
2045-01-01,10460675.843835616,10459001.185303515,10457656.041666666,10423309
2046-01-01,10534945.682191782,10531071.944089456,10531979.958333334,10498248
2047-01-01,10607881.997260274,10602456.314696487,10604969.666666666,10571845
2048-01-01,10679487.095628416,10673840.685303513,10676628.416666666,10644117
2049-01-01,10749758.649315068,10745225.055910544,10746953.75,10715051
2050-01-01,10818728.895890411,10816609.426517572,10815975.375,10784657
2051-01-01,10886453.063013699,10884191.125435539,10883748.583333334,10852988
2052-01-01,10953007.348360656,10947197.43641115,10950347.875,10920102
2053-01-01,11018476.534246575,11009603.68728223,11015859.458333334,10986093
2054-01-01,11082955.315068493,11072009.93815331,11080375.916666666,11051038
2055-01-01,11146531.506849315,11134416.18902439,11143987.166666666,11115048
2056-01-01,11209275.827868853,11197422.5,11206763.25,11178188
2057-01-01,11271257.09589041,11260428.81097561,11268774.208333334,11240534
2058-01-01,11332521.55890411,11322835.06184669,11330067.0,11302149
2059-01-01,11393100.473972602,11385241.31271777,11390672.833333334,11363061
2060-01-01,11453019.590163935,11447647.56358885,11450618.0,11423305
2061-01-01,11512296.232876712,11510053.814459931,11509920.333333334,11482897
2062-01-01,11570953.065753425,11570197.66453674,11568601.666666666,11541857
2063-01-01,11629002.397260275,11627424.006389776,11626675.458333334,11600209
2064-01-01,11686454.915300546,11684105.335463258,11684151.416666666,11657954
2065-01-01,11743317.01369863,11740786.664536742,11741037.625,11715112
2066-01-01,11799590.315068493,11797467.993610224,11797334.5,11771677
2067-01-01,11855270.139726028,11854149.322683705,11853038.583333334,11827657
2068-01-01,11910333.210382514,11883035.0,11908126.916666666,11883035
2069-01-01,11964735.947945205,11883035.0,11962557.583333334,11937781
2070-01-01,12018429.947945205,11883035.0,12016281.0,11991839
2071-01-01,12045167.0,11883035.0,12045167.0,12045167
